"Order ID","Order Key",Title,"Order Total","Completed Date","Order Status","Discount Amount ","Coupon Code","Coupons Used","Total Discount Amount","Total Fee Amount","Fee Taxes","Refund Total","Refund ID","Refund Amounts","Refund Reason","Refund Date","Refund Author Email"
1595,wc_order_5c68b2200d0bf,"Order - February 17, 2019 @ 12:00 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1599,wc_order_5c68edd391781,"Order - February 17, 2019 @ 04:14 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1601,wc_order_5c68f80083d55,"Order - February 17, 2019 @ 04:58 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1607,wc_order_5c6945e11b26d,"Order - February 17, 2019 @ 10:30 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1611,wc_order_5c6a2b4eefd97,"Order - February 18, 2019 @ 02:49 PM",49.95,,wc-pending,,,,0,,,0,,,,,
1613,wc_order_5c6a33259dd30,"Order - February 18, 2019 @ 03:23 PM",379.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1617,wc_order_5c6b11a6cc0e3,"Order - February 19, 2019 @ 07:12 AM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1620,wc_order_5c6b34e2e0210,"Order - February 19, 2019 @ 09:42 AM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1623,wc_order_5c6b4f47677ee,"Order - February 19, 2019 @ 11:35 AM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1627,wc_order_5c6b914eb5f5f,"Order - February 19, 2019 @ 04:17 PM",199.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1629,wc_order_5c6b95ea23ba9,"Order - February 19, 2019 @ 04:36 PM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1634,wc_order_5c6bde7249a73,"Order - February 19, 2019 @ 09:46 PM",89.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1636,wc_order_5c6bf5bcd31cf,"Order - February 19, 2019 @ 11:25 PM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1638,wc_order_5c6bf9ca3a965,"Order - February 19, 2019 @ 11:42 PM",199.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1640,wc_order_5c6c17d1c1ad1,"Order - February 20, 2019 @ 01:50 AM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1645,wc_order_5c6c78da7dd75,"Order - February 20, 2019 @ 08:44 AM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1648,wc_order_5c6cb1bd08021,"Order - February 20, 2019 @ 12:47 PM",89.95,,wc-cancelled,,,,0,,,0,,,,,
1650,wc_order_5c6cb20c63671,"Order - February 20, 2019 @ 12:49 PM",99.95,,wc-pending,,,,0,,,0,,,,,
1652,wc_order_5c6cc36c8c361,"Order - February 20, 2019 @ 02:03 PM",89.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1655,wc_order_5c6ccefa1f1e6,"Order - February 20, 2019 @ 02:52 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1659,wc_order_5c6d365bd3905,"Order - February 20, 2019 @ 10:13 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1662,wc_order_5c6d48864f213,"Order - February 20, 2019 @ 11:31 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1664,wc_order_5c6d8a11cf955,"Order - February 21, 2019 @ 04:10 AM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1668,wc_order_5c6dc0cbd88b1,"Order - February 21, 2019 @ 08:04 AM",99.95,,wc-pending,,,,0,,,0,,,,,
1673,wc_order_5c6e74125b4a1,"Order - February 21, 2019 @ 08:49 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1676,wc_order_5c6e9854633f2,"Order - February 21, 2019 @ 11:23 PM",99.95,,wc-pending,,,,0,,,0,,,,,
1678,wc_order_5c6eb04409f55,"Order - February 22, 2019 @ 01:05 AM",199.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1682,wc_order_5c6f2e39876a4,"Order - February 22, 2019 @ 10:03 AM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1685,wc_order_5c6f69d77a545,"Order - February 22, 2019 @ 02:17 PM",199.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
